name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J014852.70-282639.18,27.2196,-28.444217,6.54,20.42,-26.41,Yang2020,2020ApJ...897L..14Y,Yang2020,2020ApJ...897L..14Y
J052559.67-240622.98,81.498646,-24.106383,6.5397,21.4,-25.43,Yang2021,2021ApJ...923..262Y,Yang2021,2021ApJ...923..262Y
J144355.05+350055.64,220.97938,35.015457,6.53,21.21,-25.62,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J010650.34+060725.25,16.70975,6.12368,6.53,20.98,-25.85,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J022426.54-471129.36,36.11057,-47.19149,6.5222,19.89,-26.94,Reed2017,2017MNRAS.468.4702R,Wang2024,2024ApJ...968....9W
J043947.09+163415.77,69.946188,16.571047,6.5188,17.47,-29.36,Fan2019,2019ApJ...870L..11F,Yang2019c,2019ApJ...880..153Y
J111033.98-132945.68,167.64159,-13.496023,6.5144,21.25,-25.57,Venemans2015a,2015ApJ...801L..11V,Venemans2020,2020ApJ...904..130V
J222228.15-154050.84,335.61728,-15.68079,6.511,19.85,-26.97,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J011553.41+031829.37,18.972524,3.308157,6.51,20.76,-26.06,Yang2023;Martinez-Ramirez2026,2023ApJS..269...27Y;2026arXiv260308830M,Yang2023,2023ApJS..269...27Y
J154505.62+423211.60,236.273417,42.536556,6.5,22.67,-24.15,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J140258.02-062904.58,210.74177,-6.484605,6.49,21.43,-25.39,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J135012.04-002705.20,207.550167,-0.451444,6.49,22.44,-24.38,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
